ReportNumberNew,Time of Call,Date,Year,Month Name,Quarter,Week of Year,Week of Month,Day Name,Day of Year,Time,Start of Hour,Incident,PDZone,Grid,Time Dispatched,Time Out,Time In,RESPONSE_TIME,TIME_ON_CALL,Officer,Disposition,Response Type,CAD_NOTES,Location,Block1,FullAddress2,How Reported,ST#,BLOCK_
25-015571,02/25/25 23:06,02/25/25,2025,February,01,09,05,Tuesday,056,23:06,23:00,SUSPICIOUS INCIDENT,7,G2,02/25/25 23:11:08,02/25/25 23:15:12,02/25/25 23:21:28,0 Hrs. 04 Mins,0 Hrs. 06 Mins,P.O. Massimo Gallorini 379,UNFOUNDED,Urgent,Female was herd screaming in the area.  caller fled for his own safety as a party in the area  - ORTIZ_N - 2/25/2025 11:08:36 PMwas giving him a dirty look. female was herd screaming near the vestibule of 121 Myer St.  - ORTIZ_N - 2/25/2025 11:08:36 PM,121 Myer Street,100 Block of Myer Street,"121 Myer Street, Hackensack, NJ, 07601",Phone,121,"Myer St, 100 Block"
25-015584,02/26/25 00:09,02/26/25,2025,February,01,09,05,Wednesday,057,00:09,00:00,UNWANTED PERSON,5,E2,02/26/25 00:13:55,02/26/25 00:19:28,02/26/25 01:48:18,0 Hrs. 05 Mins,1 Hrs. 28 Mins,P.O. Frank Caneja 346,ASSISTED,Urgent,previously evicted daughters DOG is at the door attempting to gain entry. - ORTIZ_N - 2/26/2025 12:10:30 AM,11 Pink Street,0 Block of Pink Street,"11 Pink Street, Hackensack, NJ, 07601",Phone,11,"Pink St, 0 Block"
25-015606,02/26/25 05:03,02/26/25,2025,February,01,09,05,Wednesday,057,05:03,05:00,SUSPICIOUS INCIDENT,9,I1,02/26/25 05:05:51,02/26/25 05:07:43,02/26/25 05:20:48,0 Hrs. 01 Mins,0 Hrs. 13 Mins,P.O. Anthony Mattalian 83,SEE REPORT,Urgent,"caller states someone breaking in the unit below the callers, unk of what unit exactly  - cavallo_f - 2/26/2025 5:03:35 AMbut on the first floor, caller hears people walking and shuffling in the alley of the building - cavallo_f - 2/26/2025 5:06:10 AMCOmplainant in B2, CFS:25-071278 - cavallo_f - 2/26/2025 5:04:39 AM",46 Anderson Street,0 Block of Anderson Street,"46 Anderson Street, Hackensack, NJ, 07601",9-1-1,46,"Anderson St, 0 Block"
25-015636,02/26/25 07:08,02/26/25,2025,February,01,09,05,Wednesday,057,07:08,07:00,DISPUTE,9,I1,02/26/25 07:11:18,02/26/25 07:15:11,02/26/25 07:19:53,0 Hrs. 03 Mins,0 Hrs. 04 Mins,P.O. Carmine Maceri 378,TEMP. SETTLED,Urgent,Dispute over being overcharged for service - deleon_a - 2/26/2025 7:10:31 AM,541 River Street,500 Block of River Street,"541 River Street, Hackensack, NJ, 07601",Phone,541,"River St, 500 Block"
25-015671,02/26/25 09:13,02/26/25,2025,February,01,09,05,Wednesday,057,09:13,09:00,DISPUTE,7,G4,02/26/25 09:16:36,02/26/25 09:20:49,02/26/25 09:56:00,0 Hrs. 04 Mins,0 Hrs. 35 Mins,P.O. Angie Tabares 363,TEMP. SETTLED,Urgent,60 YOM - Gervasi_J - 2/26/2025 9:15:50 AMBELLIGERENT AND AGGRESSIVE IN ROOM 38 // FLOOR 5 - Gervasi_J - 2/26/2025 9:15:50 AMCC#25-071509 - Gervasi_J - 2/26/2025 9:15:50 AM,30 Prospect Avenue,0 Block of Prospect Avenue,"30 Prospect Avenue, Hackensack, NJ, 07601",9-1-1,30,"Prospect Ave, 0 Block"
25-015721,02/26/25 11:52,02/26/25,2025,February,01,09,05,Wednesday,057,11:52,11:00,DISPUTE,5,E2,02/26/25 11:57:24,02/26/25 12:02:35,02/26/25 12:20:36,0 Hrs. 05 Mins,0 Hrs. 18 Mins,P.O. Ruben Almonte 359,SEE REPORT,Urgent,"Complainant reporting a dispute with a fellow employee,  and is standing by on the second floor - cavallo_f - 2/26/2025 11:54:36 AM",299 Williams Avenue,200 Block of Williams Avenue,"299 Williams Avenue, Hackensack, NJ, 07601",Phone,299,"Williams Ave, 200 Block"
25-015757,02/26/25 14:55,02/26/25,2025,February,01,09,05,Wednesday,057,14:55,14:00,SUSPICIOUS INCIDENT,9,I5,02/26/25 14:57:48,02/26/25 15:10:37,02/26/25 15:16:08,0 Hrs. 12 Mins,0 Hrs. 05 Mins,P.O. Juda DeOliveira 376,UNABLE TO LOCATE,Urgent,"6-7 yom lingering the area without supervisionHispanic male wearing tan hoodie tan pants and crocscaller is a passer by juvenile was headed towards lidos - Gervasi_J - 2/26/2025 2:56:23 PMBC#25072065 - Gervasi_J - 2/26/2025 2:57:09 PMDrone deployed.  Searched for juvenile, unable to locate. - weber_r - 2/26/2025 3:16:04 PM",59 Spring Valley Avenue,0 Block of Spring Valley Avenue,"59 Spring Valley Avenue, Hackensack, NJ, 07601",9-1-1,59,"Spring Valley Ave, 0 Block"
25-015804,02/26/25 18:02,02/26/25,2025,February,01,09,05,Wednesday,057,18:02,18:00,SHOPLIFTING,9,I1,02/26/25 18:16:52,02/26/25 18:20:01,02/26/25 18:39:11,0 Hrs. 03 Mins,0 Hrs. 19 Mins,P.O. Benjamin Estrada 350,SEE REPORT,Routine,not in custody yet but should be soon  - ortiz_n - 2/26/2025 6:03:09 PM,630 Main Street,600 Block of Main Street,"630 Main Street, Hackensack, NJ, 07601",Phone,630,"Main St, 600 Block"
25-015823,02/26/25 19:46,02/26/25,2025,February,01,09,05,Wednesday,057,19:46,19:00,WELFARE CHECK,8,H3,02/26/25 19:50:11,02/26/25 19:51:42,02/26/25 20:28:32,0 Hrs. 01 Mins,0 Hrs. 36 Mins,P.O. Anthony Mattalian 83,SEE REPORT,Urgent,saran camara (ebraham trawally) check on the child.  child made a statement that he didnt know if - ortiz_n - 2/26/2025 7:48:58 PMhe would be fed today.    complainant is NJ CHILD ABUSE HOTLINE - ortiz_n - 2/26/2025 7:49:44 PM,205 Berry Street,200 Block of Berry Street,"205 Berry Street, Hackensack, NJ, 07601",Phone,205,"Berry St, 200 Block"
25-015826,02/26/25 19:51,02/26/25,2025,February,01,09,05,Wednesday,057,19:51,19:00,DISPUTE,9,I2,02/26/25 20:24:50,02/26/25 20:31:47,02/26/25 20:54:26,0 Hrs. 06 Mins,0 Hrs. 22 Mins,P.O. Massimo Gallorini 379,TEMP. SETTLED,Urgent,Caller can hear a domestic dispute from her apartment. She resides in 6I but she cant tell where its coming from. - scott_l - 2/26/2025 7:52:20 PMcoming from. 2nd 911 call -  caller said she believes the dispute to be coming from 5J - scott_l - 2/26/2025 8:02:13 PMBCCAD# 25-072397 - scott_l - 2/26/2025 7:53:52 PM,290 Anderson Street,200 Block of Anderson Street,"290 Anderson Street, Hackensack, NJ, 07601",9-1-1,290,"Anderson St, 200 Block"
25-015829,02/26/25 20:01,02/26/25,2025,February,01,09,05,Wednesday,057,20:01,20:00,SUSPICIOUS PERSON,7,G4,02/26/25 20:06:07,02/26/25 20:08:47,02/26/25 20:15:57,0 Hrs. 02 Mins,0 Hrs. 07 Mins,P.O. Frank Caneja 346,G.O.A.,Urgent,group has entered the lower garage.  caller believes they have entered to commit nefarious  - ortiz_n - 2/26/2025 8:03:52 PMactivites while consuming cannabis  - ortiz_n - 2/26/2025 8:03:56 PM,360 Essex Street,300 Block of Essex Street,"360 Essex Street, Hackensack, NJ, 07601",Phone,360,"Essex St, 300 Block"
25-015830,02/26/25 20:04,02/26/25,2025,February,01,09,05,Wednesday,057,20:04,20:00,FIELD CONTACT/ INFORMATION,6,F1,02/26/25 20:04:41,02/26/25 20:05:17,02/26/25 20:05:22,0 Hrs. 00 Mins,0 Hrs. 00 Mins,P.O. Frank Caneja 346,COMPLETE,Routine,0,100 State Street,100 Block of State Street,"100 State Street, Hackensack, NJ, 07601",Radio,100,"State St, 100 Block"
25-015859,02/26/25 21:30,02/26/25,2025,February,01,09,05,Wednesday,057,21:30,21:00,DOMESTIC VIOLENCE,5,E3,02/26/25 21:35:59,02/26/25 21:30:31,02/26/25 21:57:07,###############################################################################################################################################################################################################################################################,0 Hrs. 26 Mins,P.O. Pedro Dominguez 166,TEMP. SETTLED,Emergency,Caller having a dispute with her boyfriend. - Boyfriend struck her in the face - scott_l - 2/26/2025 9:35:02 PMBCCAD# 25-072504 - scott_l - 2/26/2025 9:35:02 PM,517 Hudson Street,500 Block of Hudson Street,"517 Hudson Street, Hackensack, NJ, 07601",Radio,517,"Hudson St, 500 Block"
25-015876,02/26/25 22:18,02/26/25,2025,February,01,09,05,Wednesday,057,22:18,22:00,DISPUTE,9,I1,02/26/25 22:20:28,02/26/25 22:18:23,02/26/25 23:01:11,###############################################################################################################################################################################################################################################################,0 Hrs. 42 Mins,P.O. Massimo Gallorini 379,SEE REPORT,Urgent,"POSSIBLE PHYSICAL DISPUTE - YELLING, AND SCREAMING -  - scott_l - 2/26/2025 10:20:01 PMCALLER RESIDES AT B4 - CALLER WANTS TO REMAIN ANONYMOUS - scott_l - 2/26/2025 10:20:01 PMBCCAD# 25-072543 - scott_l - 2/26/2025 10:20:01 PM",50 Anderson Street,0 Block of Anderson Street,"50 Anderson Street, Hackensack, NJ, 07601",9-1-1,50,"Anderson St, 0 Block"
25-015891,02/26/25 23:04,02/26/25,2025,February,01,09,05,Wednesday,057,23:04,23:00,SUSPICIOUS VEHICLE,7,G1,02/26/25 23:04:37,02/26/25 23:04:42,02/26/25 23:23:04,0 Hrs. 00 Mins,0 Hrs. 18 Mins,P.O. Frank Caneja 346,DISPERSED,Urgent,0,24 Atlantic Street,0 Block of Atlantic Street,"24 Atlantic Street, Hackensack, NJ, 07601",Radio,24,"Atlantic St, 0 Block"
25-015994,02/27/25 09:35,02/27/25,2025,February,01,09,05,Thursday,058,09:35,09:00,DISPUTE,8,H3,02/27/25 09:37:24,02/27/25 09:39:34,02/27/25 09:46:54,0 Hrs. 02 Mins,0 Hrs. 07 Mins,P.O. Angie Tabares 363,TEMP. SETTLED,Urgent,dispute with upstairs neighbor - farhi_b - 2/27/2025 9:36:51 AM,279 Second Street,200 Block of Second Street,"279 Second Street, Hackensack, NJ, 07601",Phone,279,"Second St, 200 Block"
25-016066,02/27/25 16:03,02/27/25,2025,February,01,09,05,Thursday,058,16:03,16:00,UNWANTED PERSON,5,E3,02/27/25 16:05:55,02/27/25 16:12:47,02/27/25 16:15:23,0 Hrs. 06 Mins,0 Hrs. 02 Mins,P.O. Carmine Maceri 378,DISPERSED,Urgent,W/M panhandler w/backpack opening the door asking for money - LEVIS_R - 2/27/2025 4:05:40 PM,505 South River Street,500 Block of South River Street,"505 South River Street, Hackensack, NJ, 07601",Phone,505,"South River St, 500 Block"
25-016077,02/27/25 16:24,02/27/25,2025,February,01,09,05,Thursday,058,16:24,16:00,SUSPICIOUS INCIDENT,8,H1,02/27/25 16:27:54,02/27/25 16:36:05,02/27/25 17:36:48,0 Hrs. 08 Mins,1 Hrs. 00 Mins,P.O. Alexis Mena 322,SEE REPORT,Urgent,"meet the complainant in the lobby, tenant reporting someone urinated on the floor of  her  - cavallo_f - 2/27/2025 4:25:55 PMapartment - cavallo_f - 2/27/2025 4:26 PM",214 Moore Street,200 Block of Moore Street,"214 Moore Street, Hackensack, NJ, 07601",Phone,214,"Moore St, 200 Block"
25-016115,02/27/25 19:56,02/27/25,2025,February,01,09,05,Thursday,058,19:56,19:00,GROUP,7,G3,02/27/25 20:03:59,02/27/25 20:04:24,02/27/25 20:11:27,0 Hrs. 00 Mins,0 Hrs. 07 Mins,P.O. Anthony Mattalian 83,DISPERSED,Routine,large group gambling possibly about to fight  - ortiz_n - 2/27/2025 8:03:54 PM,12 Lehigh Street,0 Block of Lehigh Street,"12 Lehigh Street, Hackensack, NJ, 07601",Phone,12,"Lehigh St, 0 Block"
25-016130,02/27/25 20:44,02/27/25,2025,February,01,09,05,Thursday,058,20:44,20:00,DISPUTE,5,E1,02/27/25 20:45:51,02/27/25 20:44:00,02/27/25 21:02:57,###############################################################################################################################################################################################################################################################,0 Hrs. 18 Mins,P.O. Nart Marza 321,G.O.A.,Urgent,verbal - irate customer vs employee - customer refusing to leave establishment - scott_l - 2/27/2025 8:44:54 PM25-073865 - scott_l - 2/27/2025 8:44:54 PM,55 Essex Street,0 Block of Essex Street,"55 Essex Street, Hackensack, NJ, 07601",9-1-1,55,"Essex St, 0 Block"
25-016132,02/27/25 20:47,02/27/25,2025,February,01,09,05,Thursday,058,20:47,20:00,CRIMINAL MISCHIEF,6,F1,02/27/25 20:50:47,02/27/25 20:52:37,02/27/25 21:21:41,0 Hrs. 01 Mins,0 Hrs. 29 Mins,P.O. Massimo Gallorini 379,SEE REPORT,Routine,"Personal vehicles were egged, as if it was mischief night.  - ortiz_n - 2/27/2025 8:49:58 PM",174 Green Street,100 Block of Green Street,"174 Green Street, Hackensack, NJ, 07601",Phone,174,"Green St, 100 Block"
25-016136,02/27/25 21:04,02/27/25,2025,February,01,09,05,Thursday,058,21:04,21:00,DISPUTE,5,E2,02/27/25 21:07:33,02/27/25 21:10:18,02/27/25 21:55:06,0 Hrs. 02 Mins,0 Hrs. 44 Mins,P.O. Nart Marza 321,ASSISTED,Urgent,verbal - male vs female - caller stating that he is attempting to retrieve his belongings  - scott_l - 2/27/2025 9:05:37 PMbut the female party is giving him a hard time - male is awaiting officers in a grey nissan - scott_l - 2/27/2025 9:05:37 PMBCCAD# 25-073888 - scott_l - 2/27/2025 9:06:12 PM,209 South Main Street,200 Block of South Main Street,"209 South Main Street, Hackensack, NJ, 07601",9-1-1,209,"South Main St, 200 Block"
25-016142,02/27/25 21:22,02/27/25,2025,February,01,09,05,Thursday,058,21:22,21:00,BURGLARY - RESIDENCE,7,G1,02/27/25 21:27:26,02/27/25 21:30:24,02/27/25 22:14:31,0 Hrs. 02 Mins,0 Hrs. 44 Mins,P.O. Anthony Mattalian 83,SEE REPORT,Emergency,caller reports her door knob is hanging off the door and key fob is non functional  - ortiz_n - 2/27/2025 9:23:50 PM,100 State Street,100 Block of State Street,"100 State Street, Hackensack, NJ, 07601",Phone,100,"State St, 100 Block"
25-016149,02/27/25 22:01,02/27/25,2025,February,01,09,05,Thursday,058,22:01,22:00,WELFARE CHECK,0,0,02/27/25 22:06:14,02/27/25 22:11:05,02/27/25 22:24:50,0 Hrs. 04 Mins,0 Hrs. 13 Mins,P.O. Frank Caneja 346,FIELD CONTACT,Urgent,"check on Nicholas Princapato, Phone number 7327405412. party is ill and not answering the phone  - caneja_f - 2/27/2025 10:37:22 PMUnable to make contact, left field contact card - tanis_r - 2/27/2025 10:24:50 PM",150 Main Street,100 Block of Main Street,"150 Main Street, Hackensack, NJ, 07601",Phone,150,"Main St, 100 Block"
25-016151,02/27/25 22:14,02/27/25,2025,February,01,09,05,Thursday,058,22:14,22:00,GROUP,7,G3,02/27/25 22:16:22,02/27/25 22:17:22,02/27/25 22:18:37,0 Hrs. 01 Mins,0 Hrs. 01 Mins,P.O. Anthony Mattalian 83,DISPERSED,Routine,Gambling drinking and fighting  - ortiz_n - 2/27/2025 10:15:04 PM,12 Lehigh Street,0 Block of Lehigh Street,"12 Lehigh Street, Hackensack, NJ, 07601",Phone,12,"Lehigh St, 0 Block"
25-016252,02/28/25 10:31,02/28/25,2025,February,01,09,05,Friday,059,10:31,10:00,DISPUTE,9,I1,02/28/25 10:45:52,02/28/25 10:51:26,02/28/25 11:22:50,0 Hrs. 05 Mins,0 Hrs. 31 Mins,P.O. Ruben Almonte 359,ADVISED,Urgent,Dispute over a dog.  One party GOA - knapp_j - 2/28/2025 10:32:27 AM,586 Main Street,500 Block of Main Street,"586 Main Street, Hackensack, NJ, 07601",Phone,586,"Main St, 500 Block"
25-016262,02/28/25 11:23,02/28/25,2025,February,01,09,05,Friday,059,11:23,11:00,SUSPICIOUS PERSON,8,H4,02/28/25 11:27:53,02/28/25 11:30:14,02/28/25 11:40:51,0 Hrs. 02 Mins,0 Hrs. 10 Mins,P.O. Ruben Almonte 359,SEE REPORT,Urgent,"CCAD# 25-074713  H/M wearing a blue jacket black pants was in the backyard and was also  - Sosa_C - 2/28/2025 11:27:10 AMknocking on the front door, walked towards Prospect possibly now on Franklin - Sosa_C - 2/28/2025 11:27:10 AMDrone deployed.  Searched for suspect w/ neg. results. - weber_r - 2/28/2025 11:43:39 AM",286 Passaic Street,200 Block of Passaic Street,"286 Passaic Street, Hackensack, NJ, 07601",9-1-1,286,"Passaic St, 200 Block"
25-016266,02/28/25 11:35,02/28/25,2025,February,01,09,05,Friday,059,11:35,11:00,WELFARE CHECK,7,G5,02/28/25 11:55:18,02/28/25 11:59:53,02/28/25 14:25:20,0 Hrs. 04 Mins,2 Hrs. 25 Mins,P.O. Micah Gibson 365,SEE REPORT,Urgent,"Check on Alexis Lewin.  Case manager in route to explain further.  ETA 1200 - knapp_j - 2/28/2025 11:37:35 AMKaren reports Alexis is ""psychotic"" and has been for weeks. - knapp_j - 2/28/2025 11:37:35 AM",67 Arcadia Road,0 Block of Arcadia Road,"67 Arcadia Road, Hackensack, NJ, 07601",Phone,67,"Arcadia Road, 0 Block"
25-016277,02/28/25 12:54,02/28/25,2025,February,01,09,05,Friday,059,12:54,12:00,SUSPICIOUS INCIDENT,5,E2,02/28/25 13:01:26,02/28/25 13:08:22,02/28/25 14:37:10,0 Hrs. 06 Mins,1 Hrs. 28 Mins,P.O. Juda DeOliveira 376,SEE REPORT,Urgent,"Responded to office.  Found a handgun in storage unit, brought it to office. - knapp_j - 2/28/2025 12:56:11 PM",270 South River Street,200 Block of South River Street,"270 South River Street, Hackensack, NJ, 07601",Phone,270,"South River St, 200 Block"
25-016283,02/28/25 13:36,02/28/25,2025,February,01,09,05,Friday,059,13:36,13:00,DISPUTE,9,I1,02/28/25 13:44:31,02/28/25 13:47:37,02/28/25 13:58:37,0 Hrs. 03 Mins,0 Hrs. 11 Mins,Sgt. Jason Gretkowski 345,ADVISED,Urgent,CCAD# 25-074855  party claiming he was pushed  - Sosa_C - 2/28/2025 1:36:52 PM,540 Main Street,500 Block of Main Street,"540 Main Street, Hackensack, NJ, 07601",9-1-1,540,"Main St, 500 Block"
25-016305,02/28/25 14:58,02/28/25,2025,February,01,09,05,Friday,059,14:58,14:00,MOTOR VEHICLE THEFT,9,I4,02/28/25 15:10:14,02/28/25 15:12:44,02/28/25 15:35:27,0 Hrs. 02 Mins,0 Hrs. 22 Mins,P.O. Angie Tabares 363,ADVISED,Routine,customers vehicle was stolen - cavallo_f - 2/28/2025 3:00:43 PM,141 Johnson Avenue,100 Block of Johnson Avenue,"141 Johnson Avenue, Hackensack, NJ, 07601",Phone,141,"Johnson Ave, 100 Block"
